epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
117,4200.7,1.33037,1.41694,1.48392,0.66037,0.68136,0.63422,0.29523,1.62339,1.16923,1.59138,0.0054064,0.0054064,0.0054064
118,4236.84,1.33398,1.40364,1.49497,0.70941,0.67276,0.64373,0.30979,1.58302,1.1667,1.55265,0.0053668,0.0053668,0.0053668
119,4271.82,1.34271,1.42101,1.50076,0.70067,0.7079,0.64771,0.34665,1.38303,1.04505,1.41481,0.0053272,0.0053272,0.0053272
120,4306.64,1.32446,1.40338,1.48416,0.65597,0.69011,0.65769,0.33904,1.45987,1.13874,1.42414,0.0052876,0.0052876,0.0052876
121,4342.71,1.33533,1.40327,1.4913,0.64365,0.69413,0.60485,0.29792,1.55541,1.18522,1.51019,0.005248,0.005248,0.005248
122,4378.46,1.34268,1.41711,1.48631,0.66541,0.6982,0.64158,0.33406,1.3892,1.1279,1.39843,0.0052084,0.0052084,0.0052084
123,4414.46,1.33303,1.38566,1.49236,0.60942,0.76014,0.67517,0.33811,1.47682,1.13979,1.45137,0.0051688,0.0051688,0.0051688
124,4449.29,1.31665,1.39463,1.47836,0.61975,0.67872,0.64405,0.33681,1.45702,1.12646,1.43997,0.0051292,0.0051292,0.0051292
125,4485.6,1.32004,1.38878,1.49298,0.73462,0.68439,0.66671,0.33616,1.44332,1.09343,1.42155,0.0050896,0.0050896,0.0050896
126,4521.37,1.31813,1.37473,1.49876,0.6803,0.72846,0.66224,0.35594,1.39564,1.08516,1.42235,0.00505,0.00505,0.00505
127,4558.59,1.336,1.38967,1.50735,0.70863,0.70115,0.65273,0.35627,1.40091,1.10267,1.39925,0.0050104,0.0050104,0.0050104
128,4594.36,1.32508,1.36553,1.48049,0.61147,0.66996,0.66407,0.35565,1.39766,1.13892,1.39264,0.0049708,0.0049708,0.0049708
129,4630.07,1.33258,1.40829,1.49883,0.68498,0.67663,0.64861,0.34258,1.4161,1.13194,1.41263,0.0049312,0.0049312,0.0049312
130,4665.42,1.30186,1.36798,1.47853,0.66891,0.70251,0.64356,0.35188,1.40152,1.06931,1.39942,0.0048916,0.0048916,0.0048916
131,4701.28,1.32558,1.36953,1.48817,0.69221,0.71278,0.67848,0.36379,1.38337,1.01833,1.38709,0.004852,0.004852,0.004852
132,4736.6,1.30598,1.33819,1.45856,0.59406,0.71361,0.65598,0.35438,1.38489,1.07839,1.38417,0.0048124,0.0048124,0.0048124
133,4771.28,1.30594,1.33606,1.49021,0.72368,0.70994,0.67118,0.35953,1.39282,1.03824,1.41297,0.0047728,0.0047728,0.0047728
134,4806.87,1.34786,1.3529,1.48852,0.72278,0.71629,0.66749,0.35684,1.42791,1.08812,1.41595,0.0047332,0.0047332,0.0047332
135,4842.82,1.31491,1.37209,1.47183,0.67287,0.70693,0.65486,0.3596,1.38104,1.02701,1.36289,0.0046936,0.0046936,0.0046936
